,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Age_Years,Is_Active
1312,Contract,Zone B,Full-Time,Production       ,Aerial,MA,Laborer,Female,2302,Hispanic,Married,42.17,1
1690,Full-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Laborer,Female,45637,Hispanic,Divorced,,1
2904,Full-Time,Zone A,Part-Time,Production       ,Field Operations,MA,Technician,Female,6014,Other,Single,61.56,1
2572,Contract,Zone B,Part-Time,Production       ,Field Operations,MA,Project Manager,Male,3588,Asian,Divorced,,1
1680,Contract,Zone B,Temporary,Production       ,Field Operations,MA,Project Manager,Female,68361,Hispanic,Widowed,,1
1574,Contract,Zone B,Full-Time,Production       ,Yard (Material Handling),MA,Coordinator,Female,18299,White,Widowed,,0
2049,Part-Time,Zone B,Full-Time,Executive Office,Yard (Material Handling),MA,Runner,Male,6637,Other,Single,57.15,1
1653,Contract,Zone B,Temporary,Production       ,Catv,MA,Supervisor,Female,34104,Other,Married,64.81,1
2310,Full-Time,Zone C,Temporary,Sales,General - Con,UT,Technician,Male,84906,Black,Married,,1
2784,Part-Time,Zone B,Part-Time,Production       ,General - Sga,MA,Administrator,Female,1824,Other,Married,,1
2568,Full-Time,Zone A,Full-Time,Production       ,General - Con,MA,Technician,Male,43823,Other,Single,,1
1204,Full-Time,Zone C,Full-Time,IT/IS,Executive,MA,Executive Assistant,Female,20602,White,Widowed,,0
2938,Contract,Zone B,Temporary,Production       ,Project Management - Con,MA,Laborer,Male,24571,Asian,Divorced,,1
1524,Full-Time,Zone A,Temporary,Sales,Aerial,MA,Foreman,Female,32929,Asian,Married,64.31,0
1465,Contract,Zone A,Temporary,Production       ,Aerial,MA,Technician,Female,91219,Asian,Single,,1
989,Part-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Flagger,Male,39796,Asian,Widowed,71.06,1
1564,Contract,Zone B,Temporary,Production       ,General - Con,MA,Technician,Female,67662,Other,Married,76.0,1
287,Full-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Laborer,Male,93985,White,Married,,1
2906,Contract,Zone B,Temporary,Production       ,Field Operations,MA,Administrative,Male,45740,Hispanic,Single,,1
2612,Contract,Zone B,Temporary,Production       ,Project Management - Con,MA,Supervisor,Female,91829,Other,Single,,1
445,Contract,Zone B,Part-Time,IT/IS,Engineers,MA,Director,Female,48135,Asian,Single,58.42,1
899,Full-Time,Zone A,Temporary,Admin Offices,General - Eng,MA,Billing,Male,86677,White,Widowed,,1
179,Part-Time,Zone C,Full-Time,Production       ,Billable Consultants,MA,Engineer,Male,95618,Other,Divorced,,0
1987,Part-Time,Zone B,Part-Time,Production       ,General - Con,MA,Laborer,Female,82519,Asian,Single,,1
1208,Full-Time,Zone C,Part-Time,IT/IS,Safety,MA,Safety,Male,18618,Hispanic,Single,,1
1510,Full-Time,Zone A,Temporary,Sales,Engineers,PA,Technician,Female,34825,Asian,Single,,0
2673,Contract,Zone B,Temporary,Production       ,General - Con,MA,Laborer,Female,58513,White,Single,74.41,1
574,Part-Time,Zone A,Part-Time,Software Engineering,Engineers,MA,Engineer,Female,1749,Black,Married,,1
2308,Contract,Zone B,Part-Time,Sales,Field Operations,NC,Groundman,Female,26584,Asian,Single,23.24,1
1373,Part-Time,Zone C,Full-Time,Production       ,Wireline Construction,MA,Lineman,Female,57065,Black,Divorced,48.66,1
2969,Part-Time,Zone B,Full-Time,Production       ,General - Con,MA,Foreman,Female,49024,Asian,Married,,0
2657,Part-Time,Zone A,Temporary,Production       ,General - Con,MA,Clerk,Male,64716,Black,Widowed,,1
168,Contract,Zone A,Temporary,Production       ,Engineers,MA,Technician,Male,56703,Other,Divorced,72.91,1
1549,Full-Time,Zone C,Full-Time,Production       ,Finance & Accounting,MA,Administration,Female,82592,White,Single,,1
2333,Part-Time,Zone B,Temporary,Production       ,Fielders,MA,Engineer,Male,2062,Other,Single,,1
1284,Full-Time,Zone A,Temporary,IT/IS,General - Con,MA,Laborer,Male,43594,Other,Widowed,,1
767,Full-Time,Zone C,Temporary,Production       ,Field Operations,MA,Foreman,Male,5779,Asian,Widowed,71.41,0
2623,Contract,Zone C,Full-Time,Production       ,Splicing,MA,Splicer,Female,78746,White,Single,,1
1635,Contract,Zone C,Temporary,Production       ,Project Management - Con,MA,Laborer,Female,35346,Hispanic,Single,,1
802,Part-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Technician,Female,43853,Black,Single,,1
2818,Full-Time,Zone A,Full-Time,Production       ,Field Operations,MA,Laborer,Female,62905,Black,Married,76.24,0
2711,Contract,Zone A,Full-Time,Production       ,Field Operations,MA,Laborer,Female,83438,Black,Single,37.5,0
2265,Full-Time,Zone A,Full-Time,Sales,Underground,TN,Foreman,Male,97985,White,Widowed,,1
1016,Contract,Zone C,Part-Time,Production       ,Field Operations,MA,Technician,Female,96317,White,Divorced,,1
1828,Full-Time,Zone C,Part-Time,IT/IS,Wireline Construction,MA,Lineman,Female,67812,Hispanic,Single,,1
2314,Full-Time,Zone A,Part-Time,Sales,Wireline Construction,NY,Technician,Male,88627,Asian,Divorced,,1
330,Full-Time,Zone B,Part-Time,Production       ,Aerial,MA,Lineman,Male,7481,Asian,Single,,0
1198,Part-Time,Zone B,Part-Time,IT/IS,Shop (Fleet),MA,Manager,Male,2056,Other,Single,,1
2359,Contract,Zone A,Full-Time,Production       ,Field Operations,MA,Laborer,Female,33987,Asian,Widowed,,1
1592,Full-Time,Zone C,Temporary,Production       ,Field Operations,MA,Laborer,Female,65810,White,Widowed,47.42,1
534,Full-Time,Zone A,Full-Time,IT/IS,Aerial,MA,Lineman,Male,74182,Black,Divorced,,1
1085,Contract,Zone B,Part-Time,Production       ,Field Operations,MA,Laborer,Female,42058,Asian,Widowed,,0
282,Full-Time,Zone C,Part-Time,Production       ,Splicing,MA,Splicer,Male,44907,Black,Divorced,,1
1595,Contract,Zone B,Part-Time,Production       ,Wireless,MA,Operator,Female,21322,White,Divorced,,1
1897,Part-Time,Zone A,Temporary,Production       ,General - Con,MA,Splicer,Female,94592,Black,Widowed,,0
2009,Full-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Driller,Male,94765,Asian,Widowed,,0
1544,Part-Time,Zone C,Full-Time,Production       ,General - Con,MA,Lineman,Female,2210,Other,Divorced,30.25,0
2433,Part-Time,Zone C,Part-Time,Production       ,General - Con,MA,Laborer,Male,54190,Black,Married,,1
2267,Full-Time,Zone C,Full-Time,Sales,Engineers,ID,Director,Male,16500,Black,Widowed,,1
131,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),MA,Manager,Female,2145,Black,Single,65.74,1
2137,Contract,Zone B,Full-Time,Sales,General - Con,MA,Flagger,Male,36351,Hispanic,Married,29.15,1
1401,Part-Time,Zone B,Temporary,Production       ,Wireline Construction,MA,Foreman,Male,64947,Black,Divorced,41.33,1
1058,Contract,Zone A,Part-Time,Production       ,Aerial,MA,Laborer,Female,92712,Asian,Married,,1
2580,Part-Time,Zone A,Full-Time,Production       ,General - Con,MA,Technician,Female,22812,Black,Married,,1
972,Part-Time,Zone C,Full-Time,Production       ,General - Con,MA,Foreman,Female,2031,Other,Widowed,,1
1832,Part-Time,Zone A,Temporary,IT/IS,General - Eng,MA,Drafter,Female,76781,Hispanic,Divorced,,1
1219,Contract,Zone C,Full-Time,Admin Offices,General - Sga,MA,Engineer,Male,74220,Black,Divorced,,1
1924,Contract,Zone B,Temporary,Production       ,Engineers,MA,Technician,Male,25767,Hispanic,Widowed,,1
1543,Part-Time,Zone C,Temporary,Production       ,Field Operations,MA,Foreman,Female,1886,Other,Single,,1
2158,Contract,Zone A,Temporary,Sales,General - Con,TN,Laborer,Male,37129,Asian,Divorced,,1
311,Full-Time,Zone A,Temporary,Production       ,General - Con,MA,Lineman,Female,21015,Hispanic,Widowed,24.82,0
2027,Full-Time,Zone A,Part-Time,Production       ,Fielders,MA,Engineer,Female,5526,Asian,Married,35.08,1
2621,Contract,Zone B,Part-Time,Production       ,Isp,MA,Apprentice,Female,34381,White,Married,,1
1474,Full-Time,Zone B,Full-Time,Production       ,Engineers,MA,Engineer,Female,51699,White,Divorced,65.32,1
1638,Contract,Zone C,Full-Time,Production       ,Field Operations,MA,Laborer,Female,18169,Other,Single,,1
2037,Full-Time,Zone B,Temporary,Production       ,Field Operations,MA,Technician,Male,78500,White,Widowed,,1
2953,Full-Time,Zone C,Temporary,Production       ,Field Operations,MA,Technician,Male,9268,Black,Widowed,,1
1803,Part-Time,Zone A,Full-Time,IT/IS,General - Con,CT,Supervisor,Female,51949,Hispanic,Married,,1
81,Full-Time,Zone B,Part-Time,Sales,Aerial,OR,Laborer,Male,9385,Asian,Single,,1
1845,Part-Time,Zone C,Full-Time,IT/IS,Field Operations,CT,Laborer,Female,62715,Black,Divorced,37.75,1
1276,Full-Time,Zone B,Part-Time,Sales,Aerial,MA,Lineman,Female,26140,Other,Single,,1
376,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Tower Hand,Female,35618,Black,Single,39.07,0
2807,Part-Time,Zone B,Temporary,Production       ,General - Con,MA,Administration,Male,52819,Black,Widowed,,1
187,Contract,Zone B,Temporary,Production       ,Project Management - Con,MA,Field Project Manager,Male,23691,White,Married,,1
1584,Contract,Zone B,Temporary,Production       ,Finance & Accounting,MA,Clerk,Female,91439,Asian,Married,30.57,1
2639,Full-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Operator,Male,2005,Hispanic,Divorced,57.08,1
2502,Full-Time,Zone B,Temporary,Production       ,Field Operations,MA,Laborer,Female,70404,White,Widowed,38.66,0
2739,Part-Time,Zone A,Full-Time,Production       ,Field Operations,MA,Laborer,Female,28796,White,Single,31.89,1
1829,Part-Time,Zone C,Full-Time,IT/IS,Field Operations,CT,Driller,Female,67840,Asian,Widowed,,1
1388,Contract,Zone A,Part-Time,Production       ,Project Management - Con,MA,Manager,Female,44224,Asian,Married,,1
2413,Contract,Zone B,Part-Time,Production       ,Fielders,MA,Engineer,Male,74671,Hispanic,Divorced,,1
1089,Contract,Zone B,Full-Time,Production       ,General - Eng,MA,Manager,Male,46694,Hispanic,Widowed,81.66,1
2023,Full-Time,Zone A,Part-Time,Production       ,Aerial,MA,Lineman,Male,73413,Asian,Single,,1
2462,Part-Time,Zone A,Temporary,Production       ,Fielders,MA,Engineer,Female,53693,Hispanic,Single,,0
2987,Contract,Zone C,Temporary,Production       ,General - Con,MA,Foreman,Female,44418,Hispanic,Married,26.74,1
2947,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Laborer,Male,33903,Hispanic,Divorced,25.72,0
480,Full-Time,Zone A,Temporary,IT/IS,Engineers,MA,Director,Female,6437,White,Married,60.15,1
1053,Part-Time,Zone B,Part-Time,Production       ,Shop (Fleet),MA,Mechanic,Male,77316,Black,Married,,1
2984,Full-Time,Zone B,Part-Time,Production       ,General - Eng,MA,Administrative,Female,24028,Asian,Single,,1
1528,Full-Time,Zone A,Temporary,Production       ,Field Operations,MA,Engineer,Male,1776,White,Married,26.75,1
2283,Part-Time,Zone C,Full-Time,Sales,Field Operations,ID,Manager,Male,45874,Black,Single,,1
1278,Part-Time,Zone B,Full-Time,IT/IS,Project Management - Con,MA,Intern,Female,50425,Hispanic,Single,,1
1487,Part-Time,Zone B,Full-Time,Production       ,Engineers,MA,Project Manager,Female,34085,Other,Married,43.75,0
326,Part-Time,Zone B,Part-Time,Production       ,Project Management - Eng,MA,Planner,Male,37926,White,Single,,1
1843,Contract,Zone C,Part-Time,IT/IS,Project Management - Con,MA,Manager,Female,93829,Asian,Single,,1
645,Part-Time,Zone C,Part-Time,Software Engineering,Field Operations,MA,Operator,Female,93329,Asian,Widowed,,1
2615,Contract,Zone B,Temporary,Production       ,Fielders,MA,Engineer,Female,44194,White,Widowed,,1
2643,Full-Time,Zone C,Temporary,Production       ,Wireline Construction,MA,Laborer,Female,7528,White,Divorced,52.66,1
1285,Full-Time,Zone A,Temporary,IT/IS,Engineers,MA,Engineer,Female,72035,Black,Single,,1
11,Full-Time,Zone C,Temporary,Sales,General - Con,GA,Technician,Female,30428,Asian,Married,76.58,1
1870,Part-Time,Zone C,Full-Time,Production       ,Aerial,MA,Laborer,Female,92649,Black,Single,,0
1844,Full-Time,Zone A,Temporary,IT/IS,Field Operations,MA,Tower Hand,Female,48655,Hispanic,Single,,1
2410,Part-Time,Zone C,Temporary,Production       ,Splicing,MA,Intern,Male,32946,Asian,Single,80.24,1
1669,Contract,Zone C,Full-Time,Production       ,Field Operations,MA,Construction Manager,Female,17358,Black,Single,,1
300,Part-Time,Zone C,Temporary,Production       ,Field Operations,MA,Supervisor,Female,37883,Other,Divorced,,1
1317,Full-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Driller,Female,2021,Hispanic,Married,77.66,1
105,Part-Time,Zone B,Full-Time,IT/IS,Wireless,OR,Technician,Female,40306,Black,Widowed,,1
2117,Full-Time,Zone C,Temporary,IT/IS,Splicing,MA,Laborer,Male,59420,White,Married,,1
640,Part-Time,Zone A,Temporary,Software Engineering,Field Operations,MA,Technician,Female,25160,White,Married,76.47,1
570,Contract,Zone A,Temporary,IT/IS,Engineers,TX,Project Manager,Male,72560,Black,Single,78.89,1
228,Part-Time,Zone C,Full-Time,Production       ,Engineers,MA,Engineer,Male,97142,Asian,Married,,1
824,Part-Time,Zone A,Part-Time,Production       ,Splicing,MA,Laborer,Female,27888,Asian,Married,76.67,1
1990,Contract,Zone C,Full-Time,Production       ,Engineers,MA,Program Manager,Male,37752,White,Single,38.23,1
1264,Contract,Zone A,Part-Time,IT/IS,Project Management - Con,MA,Technician,Male,77562,Black,Widowed,,1
477,Contract,Zone A,Part-Time,IT/IS,Engineers,MA,Engineer,Male,86510,Asian,Widowed,54.83,1
1872,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Laborer,Female,12684,Asian,Married,,1
1504,Full-Time,Zone B,Temporary,Production       ,Fielders,MA,Engineer,Female,17678,White,Single,,1
2464,Contract,Zone A,Temporary,Production       ,Wireline Construction,MA,Laborer,Male,7700,Black,Widowed,,1
1946,Full-Time,Zone A,Full-Time,IT/IS,Catv,MA,Foreman,Female,62911,Other,Divorced,,1
1354,Contract,Zone A,Part-Time,Production       ,General - Sga,MA,Supervisor,Female,88454,White,Divorced,41.14,1
1046,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Laborer,Female,24519,Black,Divorced,82.56,1
2959,Contract,Zone C,Temporary,Production       ,General - Con,MA,Laborer,Female,45331,Hispanic,Widowed,,1
826,Part-Time,Zone A,Part-Time,Production       ,Project Management - Con,MA,Engineer,Female,17844,Asian,Divorced,,1
2078,Contract,Zone B,Temporary,IT/IS,Splicing,MA,Tester,Male,23929,Asian,Single,36.99,1
2727,Full-Time,Zone B,Temporary,Production       ,Engineers,MA,Engineer,Female,75205,Black,Single,,1
2356,Part-Time,Zone A,Temporary,Production       ,Wireline Construction,MA,Technician,Male,68300,White,Married,,1
1969,Contract,Zone C,Part-Time,Production       ,General - Eng,MA,Engineer,Female,11959,Other,Single,,0
1513,Contract,Zone A,Temporary,Sales,Engineers,MA,Project Manager,Female,18285,Asian,Widowed,82.49,1
2429,Full-Time,Zone A,Temporary,Production       ,Sales & Marketing,MA,Director,Female,14553,White,Married,,1
1416,Full-Time,Zone C,Temporary,Production       ,Engineers,MA,Engineer,Male,43130,Hispanic,Married,61.09,1
2642,Full-Time,Zone A,Temporary,Production       ,General - Con,MA,Clerk,Female,92533,White,Married,,1
1774,Contract,Zone C,Part-Time,Production       ,Project Management - Con,MA,Technician,Male,37225,Other,Married,,1
691,Full-Time,Zone B,Temporary,Production       ,Engineers,MA,Project Manager,Male,44761,Asian,Divorced,,1
2917,Contract,Zone B,Temporary,Production       ,General - Con,MA,Lineman,Male,71735,White,Married,66.08,1
84,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,KY,Director,Female,41111,Asian,Divorced,,1
2402,Part-Time,Zone B,Part-Time,Production       ,Engineers,MA,Director,Male,11197,Other,Single,,1
1233,Contract,Zone B,Full-Time,IT/IS,General - Con,MA,Technician,Male,47536,Other,Widowed,53.9,0
1435,Full-Time,Zone C,Temporary,Production       ,Aerial,MA,Laborer,Male,25103,Other,Single,,1
1006,Part-Time,Zone C,Part-Time,Production       ,General - Con,MA,Clerk,Female,40314,White,Widowed,,1
721,Part-Time,Zone A,Temporary,Production       ,Wireline Construction,MA,Project Manager,Female,22415,Black,Married,,1
613,Contract,Zone A,Part-Time,Software Engineering,Field Operations,MA,Technician,Male,74234,White,Divorced,,0
771,Contract,Zone B,Part-Time,Production       ,Field Operations,MA,Laborer,Female,61843,Asian,Married,,1
2261,Contract,Zone B,Full-Time,Sales,Engineers,AZ,Engineer,Male,97840,Black,Married,57.33,1
2004,Contract,Zone A,Full-Time,Production       ,General - Con,MA,Laborer,Female,16520,Asian,Widowed,82.08,1
307,Full-Time,Zone C,Temporary,Production       ,Technology / It,MA,Engineer,Male,74284,White,Divorced,,1
2669,Contract,Zone B,Part-Time,Production       ,Engineers,MA,Technician,Female,59014,Hispanic,Single,50.48,0
1938,Contract,Zone A,Temporary,Production       ,Engineers,MA,Technician,Female,43609,Black,Married,,0
100,Full-Time,Zone B,Temporary,Sales,Aerial,CO,Lineman,Male,46645,Black,Married,,1
2053,Part-Time,Zone C,Part-Time,IT/IS,Splicing,MA,Technician,Male,1460,White,Widowed,,1
1476,Part-Time,Zone C,Part-Time,Production       ,Field Operations,MA,Foreman,Female,39875,Black,Divorced,64.16,1
2757,Part-Time,Zone A,Full-Time,Production       ,Field Operations,MA,Tower Hand,Female,9994,Hispanic,Single,,1
1508,Part-Time,Zone A,Temporary,Sales,Yard (Material Handling),MA,Coordinator,Male,60994,Hispanic,Divorced,50.97,1
2481,Contract,Zone C,Temporary,Production       ,Project Management - Con,MA,Coordinator,Male,49657,Asian,Single,44.58,1
1633,Part-Time,Zone C,Part-Time,Production       ,Field Operations,MA,Tower Hand,Female,96077,Asian,Divorced,,1
1379,Part-Time,Zone A,Full-Time,Production       ,General - Con,MA,Laborer,Male,8972,Asian,Single,,1
2874,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Construction Manager,Male,65436,Black,Divorced,,0
1646,Part-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Manager,Female,52861,Hispanic,Single,,1
2687,Contract,Zone C,Full-Time,Production       ,Isp,MA,Technician,Female,46346,Asian,Divorced,67.57,1
